operation_id,uri,method,auth,description,payload
enqueue_scrape_supplier,/ops/enqueue,POST,power,Trigger a scrape for a specific supplier.,type|payload|priority
enqueue_enrich_supplier,/ops/enqueue,POST,power,Trigger enrichment for a specific supplier.,type|payload|priority
enqueue_backfill_images,/ops/enqueue,POST,power,Backfill images for OneCheq (or other suppliers).,type|payload|priority
enqueue_sync_sold,/ops/enqueue,POST,power,Sync sold items from Trade Me.,type|priority
enqueue_sync_selling,/ops/enqueue,POST,power,Sync currently selling items from Trade Me.,type|priority
bulk_dryrun_publish,/ops/bulk/dryrun_publish,POST,power,Generate draft listings for review.,supplier_id|limit
bulk_approve_publish,/ops/bulk/approve_publish,POST,power,Publish approved drafts to Trade Me.,supplier_id|limit
bulk_reset_enrichment,/ops/bulk/reset_enrichment,POST,power,Reset enrichment status for a supplier's products.,supplier_id
withdraw_removed_items,/ops/bulk/withdraw_removed,POST,power,Withdraw items that have been removed by the supplier.,supplier_id
retry_command,/commands/{id}/retry,POST,power,Retry a failed command.,
ack_command,/commands/{id}/ack,POST,power,Acknowledge a failed command (mark resolved).,
cancel_command,/commands/{id}/cancel,POST,power,Cancel a pending or active command.,
enqueue_scan_competitors,/ops/enqueue,POST,power,Scan competitors for a specific listing.,type|payload
enqueue_reset_enrichment,/ops/enqueue,POST,power,Reset enrichment for a single product.,type|payload
enqueue_publish_listing,/ops/enqueue,POST,power,Publish a single listing (or draft).,type|payload
validate_drafts,/trademe/validate_drafts,POST,power,Validate drafts against Trade Me API.,supplier_id|limit
get_ops_summary,/ops/summary,GET,reader,Get operational summary stats.,
get_trademe_summary,/trademe/account_summary,GET,reader,Get Trade Me account health.,
get_suppliers_list,/suppliers,GET,reader,Get list of all suppliers.,
get_supplier_policy,/suppliers/{id}/policy,GET,reader,Get policy for a supplier.,
update_supplier_policy,/suppliers/{id}/policy,PUT,admin,Update supplier policy.,
get_setting,/settings/{key},GET,admin,Get a system setting.,
update_setting,/settings/{key},PUT,admin,Update a system setting.,
get_commands,/commands,GET,reader,Get command log.,
get_inbox,/ops/inbox,GET,reader,Get operator inbox.,
get_readiness,/ops/readiness,GET,reader,Get publish readiness stats.,
get_removed_items,/ops/removed_items,GET,reader,Get removed items list.,
get_orders,/orders,GET,reader,Get orders list.,
get_supplier_pipeline,/ops/suppliers/{id}/pipeline,GET,reader,Get pipeline stats for supplier.,
get_products,/products,GET,reader,Get master product list.,
get_product_inspector,/inspector/supplier-products/{id},GET,reader,Get deep inspection data.,
get_raw_vault,/vaults/raw,GET,reader,Get raw vault items.,
get_enriched_vault,/vaults/enriched,GET,reader,Get enriched vault items.,
get_live_vault,/vaults/live,GET,reader,Get live vault listings.,
